質問,回答,タグ
近隣の教室が認定を取るようです。うちのような小さな教室でも取らないといけませんか？,"認定取得は「義務」ではなく「任意」です。
ただし、認定を受けることで、国が定めた安全基準を満たしていることを示す「認定マーク」を広告等に表示できるようになり、保護者からの信頼獲得につながります。",#基本ルール #事業者向け
認定を取らないと、どうなりますか？,罰則はありませんが、認定を受けた事業者は広告や看板に「認定マーク」を表示できます。逆に、認定を受けていないのに紛らわしい表示をすることは禁止されています。,#基本ルール #事業者向け
個人経営のピアノ教室ですが、私一人でも認定を受けられますか？,"いいえ。
学習塾やスポーツクラブなどの「民間教育事業」が認定を受けるには、指導者等の数が「3人以上」である必要があります。",#基本ルール #事業者向け
スタッフの入れ替わりが激しいので、事務負担に耐えられるか不安です。,申請や確認の手続きは、原則としてオンラインシステム（こども性暴力防止法関連システム）で行います。郵送などの手間を省き、効率的に行えるよう設計されています。,#基本ルール #事業者向け
認定を取るのにお金はかかりますか？,"認定の申請手数料として、1事業あたり30,000円（オンライン申請の場合）がかかりますし、専門家（行政書士等）へ手続きの支援を依頼すれば報酬が発生します。なお、個々のスタッフの犯歴確認（照会）自体には手数料はかかりません。",#基本ルール #事業者向け
認定を取れば、性犯罪は100％防げますか？,100％とは言えませんが、再犯リスクが高い「特定性犯罪前科」のある人を採用段階で排除することが可能となります。また、研修や相談窓口の設置も義務付けられるため、初犯防止の効果が高まります。,#基本ルール #事業者向け
2026年12月からすぐに始めないといけませんか？,"法律の施行は2026年12月25日ですが、民間事業者の認定申請はそれ以降に行います。
準備が整った段階で申請してください。",#基本ルール #事業者向け
フランチャイズに加盟していますが、本部がやればいいですか？,加盟店（教室）ごとに事業者が異なる場合、実際にスタッフを雇用・管理している加盟店オーナー自身が認定を受ける必要があります。本部がまとめて受けるわけではありません。,#基本ルール #事業者向け
共同認定とは何ですか？,事業の委託元（例：自治体）と委託先（例：民間運営会社）が共同で責任を持って認定を受ける仕組みです。役割分担を決めて申請します。,#基本ルール #事業者向け
一度認定を取れば、ずっと有効ですか？,認定自体に有効期限はありませんが、認定基準（研修や体制整備など）を満たし続けているか、国から監督を受けます。基準を満たさなくなれば認定が取り消されることもあります。,#基本ルール #事業者向け
長年働いているベテラン講師に「性犯罪歴を確認したい」とは言いづらいです。,「あなたを疑っている」のではなく、「認定事業者として法律で義務付けられた手続きである」と説明してください。こどもに関わる全員が対象であることを強調しましょう。,#運営 #事業者向け
